n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,n_reflective_verbs,n_latinisms,n_difficult_connectives,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,ttr,gulpease,flesch_vacca,lexical_density
167,189,901,923,377,113,95,3,0,54,13,10,0,7,18,2,0,17,35,1,22,0,6,2,11,0,0,0,3,130,118,10,18,67.66467065868264,40.43712574850299,3.5968063872255343,54.49101796407185
75,82,364,371,159,58,53,2,0,23,6,5,0,3,7,0,0,8,17,1,7,0,4,0,3,0,0,0,2,60,54,7,13,77.33333333333333,48.46666666666667,30.69999999999999,53.333333333333336
176,200,967,991,410,96,80,4,1,61,14,0,0,2,17,6,0,15,43,4,24,0,7,3,9,1,1,0,3,143,118,25,27,54.54545454545454,40.875,10.579545454545439,52.27272727272727
290,324,1636,1670,672,183,147,16,0,70,45,6,0,12,30,7,0,31,55,14,29,0,7,1,32,1,2,0,2,220,186,33,26,63.10344827586207,49.13793103448276,37.25431034482756,54.48275862068965
60,67,317,324,134,50,44,4,0,12,9,3,0,0,5,5,0,5,13,5,7,0,0,1,4,1,2,0,1,38,32,6,5,83.33333333333334,56.166666666666664,45.83333333333334,43.333333333333336
110,118,650,658,267,82,70,3,0,30,16,0,0,6,15,2,0,11,23,1,8,0,2,2,14,0,2,0,0,90,79,11,8,74.54545454545455,38.09090909090909,11.560606060606055,57.27272727272727
295,333,1599,1637,653,176,147,9,1,71,37,4,2,7,30,9,0,22,66,31,40,0,4,2,18,7,2,0,4,184,152,32,22,59.66101694915255,43.94915254237288,29.340866290018816,46.440677966101696
73,83,409,419,156,57,52,1,0,17,5,0,0,2,8,2,0,5,19,13,10,0,2,0,3,1,0,0,0,46,41,5,5,78.08219178082192,37.082191780821915,-5.904109589041127,39.726027397260275
98,109,513,524,216,64,57,3,0,29,7,7,0,1,13,1,0,4,16,4,11,0,7,0,6,0,0,0,0,56,46,9,11,65.3061224489796,45.83673469387755,30.06802721088436,41.83673469387755
98,109,513,524,216,64,57,3,0,29,7,7,0,1,13,1,0,4,16,4,11,0,7,0,6,0,0,0,0,56,46,9,11,65.3061224489796,45.83673469387755,30.06802721088436,41.83673469387755
204,234,1004,1034,424,135,121,7,0,61,15,13,0,2,10,1,0,15,40,21,30,0,7,0,12,1,0,0,1,106,90,16,17,66.17647058823529,50.07843137254902,41.75910364145659,45.588235294117645
204,234,1004,1034,424,135,121,7,0,61,15,13,0,2,10,1,0,15,40,21,30,0,7,0,12,1,0,0,1,106,90,16,17,66.17647058823529,50.07843137254902,41.75910364145659,45.588235294117645
61,64,352,355,143,54,46,2,0,17,8,0,0,2,7,2,0,6,12,4,3,0,0,3,5,0,2,0,0,46,38,7,4,88.52459016393442,41.131147540983605,23.122950819672127,54.09836065573771
243,307,1435,1499,593,164,139,12,0,74,14,9,0,4,14,3,0,21,55,31,64,0,3,0,9,1,2,0,1,125,96,25,16,67.48971193415639,44.76131687242798,27.128600823045275,46.50205761316872
222,234,1149,1161,472,137,113,5,0,58,24,5,0,2,25,4,0,27,53,5,12,0,6,0,16,2,1,0,0,158,142,18,26,61.711711711711715,44.0,23.40180180180179,50.0
222,234,1149,1161,472,137,113,5,0,58,24,5,0,2,25,4,0,27,53,5,12,0,6,0,16,2,1,0,0,158,142,18,26,61.711711711711715,44.0,23.40180180180179,50.0
99,121,625,647,253,76,68,3,0,36,4,2,0,2,10,0,0,15,21,4,22,0,5,0,2,1,0,0,1,68,54,14,10,76.76767676767676,34.95959595959596,6.888888888888914,57.57575757575758
